Left-to-right mark	369817	por	Qual o lugar mais bonito do mundo?‎	MUIRIEL	2010-03-07 22:21:42	2010-07-30 15:38:33
Dieresis: not used	1626704	por	Em nome do Presidente Lula, Cláudio Soares Rocha expressou admiração pelos esforços que os esperantistas do mundo inteiro dedicam à difusão cada vez maior do esperanto. Ele escreveu ainda: "Sabemos que, na história da Humanidade, línguas impuseram-se em conseqüência da hegemonia política, como o latim, o francês – em certa medida – e posteriormente o inglês. Ansiamos para que, de fato, algum dia, o esperanto possa ser aceito pela maioria das nações como língua adotada para facilitar a comunicação sem privilégios linguísticos."	al_ex_an_der	2012-06-14 19:55:36	2012-10-04 18:04:14
Misspelling: conseqüência -> consequência	1626704	por	Em nome do Presidente Lula, Cláudio Soares Rocha expressou admiração pelos esforços que os esperantistas do mundo inteiro dedicam à difusão cada vez maior do esperanto. Ele escreveu ainda: "Sabemos que, na história da Humanidade, línguas impuseram-se em conseqüência da hegemonia política, como o latim, o francês – em certa medida – e posteriormente o inglês. Ansiamos para que, de fato, algum dia, o esperanto possa ser aceito pela maioria das nações como língua adotada para facilitar a comunicação sem privilégios linguísticos."	al_ex_an_der	2012-06-14 19:55:36	2012-10-04 18:04:14
Final punctuation	1653139	por	Desculpa, não entendi. Talvez possas traduzir para alguma das seguinte línguas:	filipos	2012-06-29 13:44:37	2012-06-29 13:44:37
Comma: succeeded by letter	1707432	por	Em uma família, pode-se encontrar: um avô e uma avó, um pai e uma mãe, um filho e uma filha,um sobrinho e uma sobrinha (com respeito aos avôs), também um irmão e uma irmã, um tio e uma tia, um sobrinho e uma sobrinha (com respeito aos tios), e um primo e uma prima.	nalamao	2012-07-18 18:29:08	2012-07-18 18:29:08
Comma: preceeded by space	1786025	por	A maior solidão é do ser que se ausenta, que se defende, que se fecha , que se recusa a participar da vida humana.	Kellib	2012-08-19 15:04:42	2012-08-19 15:04:42
Period: preceeded by space	1792290	por	Eu nem sei se é Tatoeba.org ou .net ou .com.	alexmarcelo	2012-08-23 02:00:40	2012-08-23 02:00:40
Question mark: preceeded by space	2008219	por	Quanto tempo é preciso para ir ao estádio ?	dafp	2012-11-15 16:59:18	2012-11-16 19:46:07
Quotation marks: homoglyphs	2039554	por	''Ficção'' não é o mesmo que ''mentir''; é uma forma de arte literalmente.	MarlonX19	2012-11-26 20:09:32	2012-11-26 20:09:32
Quotation marks: homoglyphs	2039558	por	''Ficção'' é algo que não é real; ela vem da imaginação.	MarlonX19	2012-11-26 20:10:22	2012-11-26 20:10:22
Quotation marks: homoglyphs	2039560	por	O livro é classificado como ''ficção''.	MarlonX19	2012-11-26 20:11:12	2012-11-26 20:11:12
Misspelling: Ví -> Vi	2045029	por	Ví uma menininha que era doce e amável.	MarlonX19	2012-11-29 02:56:39	2012-11-29 02:56:39
Quotation marks: homoglyphs	2047496	por	Você está falando com você mesmo e sobre você mesmo. Isso se chama ''projeção''.	MarlonX19	2012-11-30 01:13:06	2012-11-30 01:13:06
Cedilla: followed by e or i	2056836	por	Balançe sua cabeça se entender.	MarlonX19	2012-12-04 21:01:23	2012-12-04 21:01:23
Straight quotation marks: odd number	2056851	por	Totoro diz: ''Não posso falar chinês".	MarlonX19	2012-12-04 21:11:38	2012-12-31 05:27:16
Quotation marks: homoglyphs	2056851	por	Totoro diz: ''Não posso falar chinês".	MarlonX19	2012-12-04 21:11:38	2012-12-31 05:27:16
Final punctuation	2056924	por	''Você entendeu?'' ''Mais ou menos''	MarlonX19	2012-12-04 22:14:02	2012-12-04 22:14:02
Quotation marks: homoglyphs	2056924	por	''Você entendeu?'' ''Mais ou menos''	MarlonX19	2012-12-04 22:14:02	2012-12-04 22:14:02
Quotation marks: homoglyphs	2056997	por	A senha é ''Muiriel''.	MarlonX19	2012-12-04 22:48:11	2012-12-04 22:48:11
Quotation marks: homoglyphs	2057288	por	''As boas ou as más notícias primeiro?'' ''As boas primeiro''.	MarlonX19	2012-12-05 03:21:10	2012-12-05 03:21:10
Quotation marks: homoglyphs	2063695	por	Meu nome não é ''você''; é Ricardo.	MarlonX19	2012-12-07 19:44:42	2012-12-07 19:44:42
Greek characters: possible homoglyphs	2069298	por	O valor de ΔH negativo indica reação exotérmica.	alexmarcelo	2012-12-10 01:27:58	2012-12-10 01:27:58
Greek characters: possible homoglyphs	2069299	por	O valor de ΔH positivo indica reação endotérmica.	alexmarcelo	2012-12-10 01:28:16	2012-12-10 01:28:16
Quotation marks: homoglyphs	2082841	por	Você pensa que a língua que você quer aprender vai ser a ''língua do futuro''?	MarlonX19	2012-12-16 06:27:39	2012-12-16 06:27:39
Quotation marks: homoglyphs	2082845	por	Tu pensas que o idioma que tu queres aprender será o ''idioma do futuro''?	MarlonX19	2012-12-16 06:30:15	2012-12-19 20:55:50
Quotation marks: homoglyphs	2087391	por	''Qual é teu desejo?'', perguntou o pequeno coelho branco.	MarlonX19	2012-12-18 03:39:28	2012-12-19 21:30:36
Quotation marks: homoglyphs	2094127	por	''Vamos'', ele disse para mim.	MarlonX19	2012-12-20 21:59:49	2012-12-20 21:59:49
Quotation marks: homoglyphs	2094129	por	''Vamos'', ele me disse.	MarlonX19	2012-12-20 21:59:59	2012-12-20 21:59:59
Quotation marks: homoglyphs	2097897	por	Para muitas pessoas hoje, ''competitivo'' é um palavrão.	MarlonX19	2012-12-22 19:16:28	2012-12-22 19:16:28
Quotation marks: homoglyphs	2097933	por	''Você quer deixar uma mensagem?'' ''Não, obrigado.''	MarlonX19	2012-12-22 19:49:58	2012-12-22 19:49:58
Quotation marks: homoglyphs	2097934	por	''Vocês querem deixar uma mensagem?'' ''Não, obrigado.''	MarlonX19	2012-12-22 19:50:27	2012-12-22 19:50:27
Quotation marks: homoglyphs	2100070	por	Jamais escreva as palavras ''bortsh'' e ''shchi'' em alemão.	MarlonX19	2012-12-24 04:10:29	2012-12-24 04:10:29
Quotation marks: homoglyphs	2100142	por	''Oi, John. - Não sou o John''.	MarlonX19	2012-12-24 04:46:35	2012-12-26 05:36:56
Quotation marks: homoglyphs	2103610	por	''Por quê?'' ''Por quê não?''	MarlonX19	2012-12-25 19:34:19	2012-12-26 05:32:53
Quotation marks: homoglyphs	2103612	por	''Você dormiu com ela!'' ''Eu não''.	MarlonX19	2012-12-25 19:35:04	2012-12-25 19:35:04
Quotation marks: homoglyphs	2103642	por	''O Natal não é amanhã, é hoje!'' ''Não, é amanhã!''	MarlonX19	2012-12-25 19:40:37	2012-12-26 05:22:46
Final punctuation	2137363	por	Saiam! Não quero falar com vocês! (Plural)	CptGuapo	2013-01-11 05:28:36	2013-01-11 05:28:36
Dieresis: not used	2146980	por	Os meus pais moram em Windhoek e eu, em Lüderitz.	alexmarcelo	2013-01-16 04:16:15	2013-01-16 04:16:15
Brackets: closing mark succeeded by letter or digit	2169855	por	A configuração eletrônica do actínio é [Rn]6d¹7s².	alexmarcelo	2013-01-27 01:17:19	2013-01-27 01:17:19
Brackets: closing mark succeeded by letter or digit	2176018	por	A configuração eletrônica do alumínio é [Ne]3s²3p¹.	alexmarcelo	2013-01-30 04:08:43	2013-01-30 04:08:43
Exclamation mark: preceeded by space	2195068	por	Acredite na sorte !	sergewa	2013-02-06 03:26:03	2013-02-06 03:26:03
Question mark: preceeded by space	2195078	por	Cadê meu relógio ?	sergewa	2013-02-06 03:35:35	2013-02-06 03:35:35
Quotation marks: homoglyphs	2278346	por	''De quem são essas orelhas?'' ''Elas são do Mickey Mouse.''	MarlonX19	2013-03-03 02:14:43	2013-03-03 02:14:43
Greek characters: possible homoglyphs	2397461	por	Promessa é aquilo que você quer fazer pοr uma pessoa porque gosta muito dela.	Ricardo14	2013-04-22 22:14:09	2013-05-26 23:02:44
Quotation marks: homoglyphs	2418023	por	Como se diz ''Eu te amo'' em francês?	MarlonX19	2013-05-04 00:52:58	2013-05-04 00:52:58
Quotation marks: homoglyphs	2418026	por	Como você diz ''Eu amo você'' em francês?	MarlonX19	2013-05-04 00:53:28	2013-05-04 00:53:28
Multiplication sign: possible homoglyph	2419234	por	O jogo terminou empatado em 1X1.	Ricardo14	2013-05-04 22:39:15	2013-05-04 22:39:15
Quotation marks: homoglyphs	2423972	por	''Nós não nos encontramos em algum lugar antes?'' Pediu o estudante.	MarlonX19	2013-05-08 02:55:13	2013-05-08 02:55:13
Quotation marks: homoglyphs	2424029	por	''Estive ocupado''. ''Ocupado fazendo o quê?''	MarlonX19	2013-05-08 03:37:05	2013-05-08 03:37:05
Final punctuation	2425969	por	Pai Nosso, que estás no céu; Santificado seja o Teu Nome; Venha o Teu Reino; Seja feita a Tua Vontade; Assim na terra como no céu; O pão nosso de cada dia nos dai hoje; E perdoai as nossas dívidas; Assim como nós perdoamos os nossos devedores; E não nos deixes cair em tentação; Mas livrai-nos do mal;	bionicboy	2013-05-09 02:55:18	2013-05-09 02:55:18
Dieresis: not used	2427864	por	Esta é a senhora Müller.	Ricardo14	2013-05-10 04:01:28	2013-05-10 04:01:28
Final punctuation	2428528	por	Por favor, não me pergunte,	MarlonX19	2013-05-12 00:16:06	2013-05-12 00:16:06
Quotation marks: homoglyphs	2429122	por	''Amigos de infância'' são assustadores.	MarlonX19	2013-05-12 17:00:14	2013-05-12 17:00:14
Quotation marks: homoglyphs	2456353	por	''Obrigado.'' ''De nada.''	MarlonX19	2013-05-26 01:06:43	2013-05-26 01:06:43
Quotation marks: homoglyphs	2456400	por	O que a palavra ''next'' significa?	MarlonX19	2013-05-26 01:43:21	2013-05-26 01:43:21
Quotation marks: homoglyphs	2456402	por	O que significa a palavra ''próximo''?	MarlonX19	2013-05-26 01:44:03	2013-05-26 01:44:03
Period: preceeded by space	2464537	por	Ele considerou impossível o plano .	Matheus	2013-05-29 22:48:57	2013-05-29 22:48:57
Final punctuation	2469410	por	Eu, frequentemente, assisto TV antes do jantar,	MarlonX19	2013-06-01 07:14:10	2013-06-01 07:14:10
Quotation marks: homoglyphs	2486189	por	''Gostaria de algo para beber?'' ''Não, mas obrigado por oferecer.''	MarlonX19	2013-06-08 17:43:40	2013-06-08 17:43:40
Quotation marks: homoglyphs	2486197	por	''Por favor, coloque isso no topo.'' ''No topo de que?''	MarlonX19	2013-06-08 17:46:42	2013-06-08 17:46:42
Comma: preceeded by space	2488314	por	Apresse-se , ou você vai se atrasar para a escola.	MarlonX19	2013-06-09 19:17:44	2013-06-09 19:17:44
Quotation marks: homoglyphs	2592440	por	Como você diz ''amor'' em francês?	MarlonX19	2013-07-14 22:49:31	2013-07-14 22:49:31
Dieresis: not used	2653638	por	O Tom comprou uma câmera na liqüidação.	marcospcruz	2013-08-04 12:18:30	2013-08-04 12:18:30
Straight quotation marks: odd number	2667752	por	"Se algo a meu respeito não te agrada", disse Tom, "então segue o conselho de Pitágoras: "Escreve na areia os defeitos de teu amigo!" — "Mas assim vou precisar de areia demais", replicou Maria.	carlosalberto	2013-08-11 12:31:12	2013-08-11 12:31:12
Comma: preceeded by space	2672257	por	Canção do antigo repertório de Irene Bilik "Apaixone-se por mim, Yuri" agora, como nunca , é apropiada.	Sitko	2013-08-13 01:03:22	2013-08-13 01:03:22
Misspelling: apropiada -> apropriada	2672257	por	Canção do antigo repertório de Irene Bilik "Apaixone-se por mim, Yuri" agora, como nunca , é apropiada.	Sitko	2013-08-13 01:03:22	2013-08-13 01:03:22
Ellipsis: too short	2674937	por	Um momento de tristeza embotava sua percepção..	carlosalberto	2013-08-14 03:35:19	2013-08-14 03:35:19
Period: preceeded by space	2679309	por	Tom ficou preocupado porque teve a impressão de que as palavras de Mary fossem uma indireta para ele, mas na verdade ela estava apenas debochando de si mesma .	vitoreiji	2013-08-15 22:24:18	2013-08-15 22:24:18
Quotation marks: homoglyphs	2682373	por	''Devo fechar a janela?'' ''Sim, por favor.''	MarlonX19	2013-08-17 07:21:12	2013-08-17 07:21:12
Misspelling: aquelle -> aquele	2688731	por	"Aqui" e "aquelle" são palavras que se vão tornando aceitas na medida em que são usadas em Interlíngua.	carlosalberto	2013-08-20 01:09:55	2018-11-03 14:42:06
Straight quotation marks: preceeded and succeeded by space	2716211	por	O homem que estava fumando disse: " Ele não veio aqui nunca mais."	Ricardo14	2013-09-02 15:23:20	2013-09-02 15:23:20
Final punctuation	2719383	por	"Apesar das aparências, você é uma pervertida" - "Pervertida nada. Eu sou é uma puritana." - "Tá bom, finge que eu acredito"	vitoreiji	2013-09-04 15:35:09	2013-09-04 17:29:01
Straight quotation marks: preceeded and succeeded by space	2720151	por	Na aulas de francês e alemão, nosso professor que veio da Inglaterra disse: " Como vocês podem esperar aprender uma língua estrangeira se vocês não conhecem a gramática da sua própria língua?"	Ricardo14	2013-09-04 18:00:10	2018-11-03 01:53:27
Comma: preceeded by space	2732312	por	Em alemão, "Mädchen" , na verdade, pede um artigo neutro como a maioria dos substantivos terminados em "-chen".	Ricardo14	2013-09-10 16:21:08	2018-11-03 01:49:51
Comma: succeeded by letter	2740137	por	Este não é um passaporte soviético: Veja,ele foi emitido M3C Ucrânia em 1992, significa que este passaporte é ucraniano, ainda que esteja escrito aqui "Passaporte da União Soviética".	Sitko	2013-09-14 19:28:48	2013-09-14 19:28:48
Straight quotation marks: odd number	2741951	por	"De quem são esses medicamentos? "Da Fahima."	Ricardo14	2013-09-15 23:14:24	2013-09-15 23:14:24
Final punctuation	2747488	por	Eu ganhei um monte de picadas de insetos na floresta	Ricardo14	2013-09-19 04:55:56	2013-09-19 04:55:56
Misspelling: Bolshói -> Bolshoi	2751427	por	Quero ir ao Bolshói, mas dizem que é difícil conseguir entradas.	carlosalberto	2013-09-20 20:52:52	2013-09-20 20:52:52
Final punctuation	2751631	por	Eu sei que você gosta do Tom	Ricardo14	2013-09-20 23:45:55	2013-09-20 23:45:55
Multiplication sign: possible homoglyph	2775907	por	Resolver a equação cúbica x³ + 2x² − x − 2 = 0.	carlosalberto	2013-10-06 14:20:20	2013-10-06 14:20:20
Misspelling: mihões -> milhões	2776888	por	O meio-campista Dantas do Alpha FC foi emprestado ao Yang Warriors por 5 mihões de euros.	Ricardo14	2013-10-07 00:39:15	2013-10-07 01:46:59
Quotation marks: homoglyphs	2814952	por	''Jamais entenderei as mulheres'', disse Tom.	MarlonX19	2013-10-29 18:58:20	2013-10-29 19:00:59
Quotation marks: homoglyphs	2814953	por	''Eu nunca vou entender as mulheres'', disse Tom.	MarlonX19	2013-10-29 18:59:13	2013-10-29 18:59:13
Quotation marks: homoglyphs	2817258	por	Em seu livro, ''Na terra das línguas inventadas,'' Arika Okrent fala, favoravelmente, sobre o esperanto.	MarlonX19	2013-10-30 23:09:11	2013-10-30 23:09:11
Exclamation mark: preceeded by space	2837483	por	Espere, não atire em si !	Sitko	2013-11-08 22:40:52	2013-11-08 22:40:52
Quotation marks: homoglyphs	2840241	por	Tente digitar ''Do a barrel roll'' no Google. Incrível, não?	MarlonX19	2013-11-10 00:13:46	2019-07-22 16:23:39
Quotation marks: homoglyphs	2847229	por	Não entre na sala até que eu diga ''Tudo certo.''	MarlonX19	2013-11-13 18:55:10	2013-11-13 18:55:10
Quotation marks: homoglyphs	2847230	por	Não entrem na sala até eu dizer ''Tudo bem.''	MarlonX19	2013-11-13 18:55:34	2013-11-13 18:55:34
Final punctuation	2847543	por	Você pareceu curtir aquilo	MarlonX19	2013-11-13 22:35:49	2013-11-13 22:35:49
Quotation marks: homoglyphs	2849788	por	''Já acabaram?'' ''Pelo contrario, nós apenas começamos.''	MarlonX19	2013-11-15 02:16:19	2013-11-15 02:16:19
Dieresis: not used	2871430	por	Você já provou glühwein? Eu acho muito bom.	brauliobezerra	2013-11-23 00:56:12	2013-11-23 00:56:12
Quotation marks: homoglyphs	2875558	por	''De quem são esses livros?'' ''São da Alice.''	MarlonX19	2013-11-24 14:14:12	2013-11-24 14:14:12
Quotation marks: homoglyphs	2898069	por	''Para ser honesto, eu tenho medo de altura.'' ''Covarde!''	MarlonX19	2013-12-03 02:09:34	2013-12-03 02:09:34
Parentheses: opening mark preceeded by letter or digit	2945976	por	A função f(x) = 5 é uma função constante.	alexmarcelo	2013-12-28 20:11:44	2013-12-28 20:11:44
Parentheses: opening mark preceeded by letter or digit	2945977	por	A função f(x) = π² é uma função constante.	alexmarcelo	2013-12-28 20:12:48	2013-12-28 20:12:48
Final punctuation	2998199	por	És realmente um anjo	jaurelio	2014-01-20 21:49:12	2014-01-20 21:49:12
Foreign: film = filme	3029666	por	"Pacto de Sangue" é o título de um clássico "film noir" de 1944, no qual um galanteador corretor de seguros (Fred MacMurray) e uma dona de casa (Barbara Stanwyck) planejam o assassinato do marido dela, fazendo-o parecer um acidente, a fim de aumentar o prêmio estipulado na apólice do seguro de vida, que seria pago em dobro em caso de morte acidental.	carlosalberto	2014-02-04 18:10:25	2014-02-04 18:18:35
Quotation marks: homoglyphs	3057661	por	Eu gosto de sorvete de chocolate, flocos e ''sonho de valsa''.	raissalima	2014-02-20 00:19:02	2014-03-08 20:29:22
Period: preceeded by space	3069412	por	O fruto proibido é o mais doce .	carlosalberto	2014-03-01 05:55:03	2014-03-01 05:55:03
Final punctuation	3091218	por	Devo vê-lo amanhã	ruj	2014-03-13 01:35:59	2014-03-13 01:36:12
Final punctuation	3092619	por	Você está começando a testar minha paciência	patrickvob	2014-03-13 15:52:33	2014-03-13 15:52:33
Final punctuation	3122838	por	Você não deve esconder os seus sentimentos	Marquinho	2014-03-24 19:44:28	2014-03-24 19:44:28
Final punctuation	3128630	por	Tom é um garoto demasiado honesto para mentir	ruj	2014-03-26 18:51:05	2014-03-26 18:51:05
Final punctuation	3145200	por	Quem entra naquele jardim não pode deixar de admirar as peras	ruj	2014-04-02 22:51:33	2014-04-02 22:51:33
Final punctuation	3176383	por	Só eu e você	mairovergara	2014-04-14 18:29:27	2014-04-14 18:29:27
Ellipsis: too short	3249199	por	Mary quer que você convide-a para sair..	Ricardo14	2014-05-13 11:10:46	2014-05-13 11:10:46
Straight quotation marks: preceeded and succeeded by space	3251098	por	"Eu quero que algo aconteça" "Como o quê?" " Não sei".	sergiomelo	2014-05-14 04:27:23	2014-05-14 04:27:23
English quotation marks: opening mark preceeded by letter or digit	3255844	por	“Quando é que ele estuda?“ “Ele estuda antes do jantar“.	mervert1	2014-05-16 13:49:48	2014-05-16 13:49:56
English quotation marks: opening mark succeeded by space	3255844	por	“Quando é que ele estuda?“ “Ele estuda antes do jantar“.	mervert1	2014-05-16 13:49:48	2014-05-16 13:49:56
English quotation marks: unclosed opening mark	3255844	por	“Quando é que ele estuda?“ “Ele estuda antes do jantar“.	mervert1	2014-05-16 13:49:48	2014-05-16 13:49:56
English quotation marks: unbalanced opening marks	3255844	por	“Quando é que ele estuda?“ “Ele estuda antes do jantar“.	mervert1	2014-05-16 13:49:48	2014-05-16 13:49:56
Final punctuation	3267214	por	“Húngaro é a única língua que o diabo respeita”	bandeirante	2014-05-20 21:26:09	2014-05-20 21:26:09
Quotation marks: homoglyphs	3316560	por	''Se importa se eu fumar?'' ''Não, não mesmo.''	MarlonX19	2014-06-14 23:14:49	2014-06-14 23:14:49
