1629448	gulsen	1629457	gulsen
9800135	CrowdsourceKurdish	9800137	CrowdsourceKurdish
9800179	CrowdsourceKurdish	9800182	CrowdsourceKurdish
9800187	CrowdsourceKurdish	9800190	CrowdsourceKurdish
9800198	CrowdsourceKurdish	9800200	CrowdsourceKurdish
9800206	CrowdsourceKurdish	9800208	CrowdsourceKurdish
9800255	CrowdsourceKurdish	9800257	CrowdsourceKurdish
9800262	CrowdsourceKurdish	9800264	CrowdsourceKurdish
9801463	CrowdsourceKurdish	9801465	CrowdsourceKurdish
9801470	CrowdsourceKurdish	9801473	CrowdsourceKurdish
9801478	CrowdsourceKurdish	9801480	CrowdsourceKurdish
9801485	CrowdsourceKurdish	9801487	CrowdsourceKurdish
9801521	CrowdsourceKurdish	9801523	CrowdsourceKurdish
9801528	CrowdsourceKurdish	9801530	CrowdsourceKurdish
9801535	CrowdsourceKurdish	9801537	CrowdsourceKurdish
9801543	CrowdsourceKurdish	9801545	CrowdsourceKurdish
9801669	CrowdsourceKurdish	9801671	CrowdsourceKurdish
9801676	CrowdsourceKurdish	9801678	CrowdsourceKurdish
9801684	CrowdsourceKurdish	9801687	CrowdsourceKurdish
9801693	CrowdsourceKurdish	9801695	CrowdsourceKurdish
8764418	CrowdsourceKurdish	9802499	CrowdsourceKurdish
9846282	Sarchia	9846294	Sarchia
9658433	biyolojiyabikurdi	9985302	biyolojiyabikurdi
8326868	Adelpa	10031803	biyolojiyabikurdi
8313248	Adelpa	10126802	derengiyazadiye
7820464	soliloquist	10542768	Sarchia
8331028	Adelpa	10780727	ajje
8349738	Adelpa	10780741	ajje
9206573	CrowdsourceKurdish	10780778	ajje
8349660	Adelpa	11056984	Sarchia
