32	0x20	 	75898	5299971	tgl	Di ako magpapatalo!	katalex	2016-07-25 16:07:26	2016-07-25 16:07:26
44	0x2c	,	5487	11658761	tgl	Para mabuhay, kakailanganin nating magsakripisyo.	qwertzu	2023-04-06 03:00:41	2023-04-06 03:00:41
45	0x2d	-	7189	11807460	tgl	Gusto pong makipag-away ni Tom.	qwertzu	2023-05-30 13:13:59	2023-05-30 13:13:59
46	0x2e	.	64408	2756595	tgl	Naku, ang lamig ngayon.	mervert1	2013-09-24 04:05:31	2013-09-24 04:05:31
47	0x2f	/	19	4444148	tgl	Naubos na ang kanyang paglaum/pag-asa.	chloe_cabalquinto	2015-08-10 13:12:14	2015-08-10 13:12:14
48	0x30	0	735	11701468	tgl	Wala namang masyadong nangyari nitong maulap na umaga nang ika-22 ng Abril ng 2023. Sa madaling-araw sa bahay, kumakain ako ng ubeng hopya, malaking puting siyopaw, at lasang wasabing mga berdeng nilutong tsitsaro at umiinom ng malamig na itim na kape, habang nag-iinternet sa tablet ko at nakaupo sa salas. Sa tablet ko rin, may mga audiobook ako ng puntong Britanikong Star Maker, o Manggagawa ng mga Bituwin, ni Olaf Stapledon at Portuges na bersiyong Duna ni Frank Herbert, at pareho itong mga siyensiyang piksiyon ay pinakikinggan ko, dahil parang nakakaduling na ang magbasa ng teksto sa akin. Mga alas 7, nasa tsaahan na ako para uminom ng mayelong itim na tsaa at magbasa nang malakas ng isang Pranses na siyensiyang piksiyong librong Un bonheur qui dérape, o Isang Madulas na Kaligayahan, ni Jean Mazarin. Sa isang mesa, may mag-asawang Arabe. Sa isa pang mesa, may mga tatlong regular na Anglo-Sahon, Latino, at Intsik na atletiko. May bisita silang Taga-Inglaterang pauwi na. Bago pa mag-alas 8, hindi ko na hinintay ang kaibigang kong Pilipinong si Greg, at pumunta na ako sa groseri para bumili ng lasang reynbow na sorbet. Ang kahero ay ang Ingles-Intsik na mestisong si Michael. Sa labas, sa isang bangko sa lilim ng puno, nakaupo si Michael na Danes-Pranses at nagkrokrosword doon; kumaway siya sa akin. Sa parking lot, kumaway din sa akin si Benny, yaong tagawalis na Bumbay na Taga-Fiji.	nonong	2023-04-22 15:41:08	2023-04-22 21:01:37
49	0x31	1	593	11999947	tgl	Nagtsatsaang itim na mayelo ako sa Istarbak dito sa Isla Lulu nitong maaraw na umaga nang ika-16 ng Agosto ng 2023. May dumalaw na dalawang Budistang mongheng nakapulang toga. May itsura sila, at nakaahit ang ulo. Yaong isa ay nakanaranghang tisyort, at yaong isa ay nakamurang kayumangging tisyort. Malamang na Tibetano ang salita nila sa tabing mesa. Noong dekadang 2000, pinag-aaralan ko nang kaunti ang Tibetano. Parang Pranses ang sulat dahil may mga silentong letra at mga kontorsiyon. Noon din, pinag-aaralan namin ng meditasyong klase ko sa Taylandes na templo sa Bangkuber ang liturhikong lengguwaheng Pali. Liturhikong wika ang Pali ng mga Budistang Timog. Ang Sagradong Eskritura ay ang Tipiṭaka sa Pali, yaong Tatlong Buslo, yaong parang espiritwal na ensiklopedya. Ang mga Tibetano ay Budistang Norte.	nonong	2023-08-16 16:20:56	2023-08-16 16:28:35
50	0x32	2	664	11324793	tgl	Sa ika-12 ng Disyembre ng 2022, hiwatig ni Tharsan, isang may ninuno sa Sri Lankang may-ari ng pizzeria, na magaling talaga ang wikang Lojban. Sa tingin niya, hindi mas magaling ang mga prototipong Vling o Xoqolat at mga siyensiyang piksiyong nakakapalit sa esensiya ng Lojban.	nonong	2022-12-13 01:46:26	2022-12-13 01:52:45
51	0x33	3	464	12014484	tgl	Sa maulap na umaga nang ika-24 ng Agosto ng 2023, naghuhuntahan kami ni Greg na Pilipino sa Istarbak. Binili niya ako ng mga mansanas na tsip habang nagtsatsaang itim na mayelo ako. Nagkakape si Greg na may kasamang sanwits na beykon, Gouda, at itlog, ang paborito niya roon. Sabi raw niyang kabibili niya ng luhong Ray-Ban na sunglasses nang mahigit na dalawang daang dolyar. Gawa raw sa Taylandiya. Sabi kong yaong magaling na kamera kong Nikon na DSLR ay gawa rin sa Taylandiya. Sabi ko kay Greg na parang Hapones ang Taylandes. Sa umaga, lakad ako hanggang pizzeria para magpizza at kola. Pagpunta ko sa pizzeria sa hapon naman, natagpo ko sa kalye si Bob na Tsipreng Griyegong kapatid ni George na kapitbahay ko. Nagbabakasyon siya rito sa Isla Lulu. Lumipat daw ang pamilya niya sa isang luhong antigong apartment sa Harrogate, isang bayang ispa, sa Inglatera. Pinakita niya ang mga litrato ng kanyang kapitbahayan sa kanyang ismartpon. May maraming magandang antigong gusali at arkitekturang may kasaysayan. Sabi ko kay Bob na "disoryentasyon" sa aking hindi ako nasa lumang bansa. May kaya si Bob dahil nasa IT siya. Nakakulay-rosas na kamisetang de-butones at khaking korto siya. (Kung ikuwekuwenta ang antigong indihenong kultura rito sa Hilagang Amerika, may kasaysayan, pero hindi sila masyadong bisible nga.) May mga Kurdong restawran daw sa Harrogate, imbis na mga Bumbay na restawrang popular sa karamihan ng Britanya.	nonong	2023-08-24 23:46:18	2023-08-25 00:01:33
52	0x34	4	152	2041273	tgl	Sa Hapon, ang ika-25 ng Disyembre'y parang ika-14 ng Pebrero.	nonong	2012-11-27 16:57:48	2012-11-27 16:57:48
53	0x35	5	127	2021525	tgl	Noong mga dekadang 50 at 60 nang ika-20 dantaon, ang isip tungkol sa kinabukasan ng mundo ay mas optimista kaysa sa ngayon.	nonong	2012-11-19 09:23:35	2012-11-19 09:23:35
54	0x36	6	176	11797662	tgl	Pumanaw si Niels Bohr noong ika-18 ng Nobyembre taong 1962.	qwertzu	2023-05-28 03:58:15	2023-05-28 03:58:15
55	0x37	7	188	10723315	tgl	Ika-12 ng Hulyo ng 2017 ngayon. Mapanganib, piligroso, ang trabaho sa espasyo. Kung robotiko lamang ay mas mabuti, pero kung may tao ay talagang mapanganib. Kaya ang estimasyon ng mga Hapon ay magtatagal ang progreso sa kalawakan. Hindi tipaklong, kundi pagong... Malaking trabaho!	nonong	2022-03-17 18:57:45	2022-03-17 18:57:45
56	0x38	8	161	2281255	tgl	Ang porn ay rated X; ibig sabihin, ang mga maaari lang manood nito ay mga taong edad 18 pataas.	ichivivi20	2013-03-04 11:52:13	2013-03-04 11:52:13
57	0x39	9	214	1659570	tgl	Una, pangalawa, ikatlo, ika-4, ika-5, ika-6, ika-7, ika-8, ika-9, ika-10... pangalawa sa huli, huli.	nonong	2012-07-02 11:59:08	2012-07-02 11:59:08
58	0x3a	:	223	11743082	tgl	Halos imposible pong magpapara ng taksi sa Manhattan nang 5:00 ng hapon.	qwertzu	2023-05-07 01:48:33	2023-05-07 01:48:33
59	0x3b	;	109	10633353	tgl	Tinakpan ng Panginoong Gro ang kanyang mukha ng kanyang manta at umiyak upang marinig at masdan ang banal na Pavane; dahil sa muling pagbangon ng mga multo ay itinaas nito para sa kanya ang lumang masasayang kalahating nakalimutang mga araw sa Goblinlandiya, bago siya nakipagsabwatan laban kay Haring Gaslark at pinalayas mula sa kanyang mahal na lupang tinubuan, isang pagpapatapon sa matubig na Bruhalandiya.	nonong	2022-01-21 01:38:08	2022-01-21 01:38:08
63	0x3f	?	10596	8653126	tgl	Ayaw mo ba ng isa?	England	2020-04-02 14:01:11	2020-04-02 14:01:11
65	0x41	A	8695	11797668	tgl	Ipinagdiriwang po natin ang ika-28 ng Nobyembre bilang Araw ng Tatoeba, dahil ito po ay ang araw kung kailan idinagdag ang Turko, Esperanto at Griyego.	qwertzu	2023-05-28 04:00:59	2023-05-28 04:00:59
66	0x42	B	4535	11706139	tgl	Bakit po buhay pa kami?	qwertzu	2023-04-24 01:58:45	2023-04-24 01:58:45
67	0x43	C	584	11726212	tgl	Nang maulap na umagang pasado nang alas 8 ng ika-30 ng Abril ng 2023, naglakad ako papuntang sa tsaahan sa Isla Lulu. Sa daan, nakita ko si Michael na Danes-Pranses. Pinag-usapan namin ang biyahe ko sa Ehipto. Lumang-luma ang mga kolonyal na Pranses na gusali sa Cairo. At mahiwaga ang mga talagang antigong piramide. Sa Luxor ay ang maraming templo. Sa daan ay ang Kom Ombo, templo ng diyos na buwaya. Sang-ayon kaming antigo rin ang Anglo-Sahong Amerika rito kung iisipin ang mga indihenong narito nang ilang libong taon na. Sabi kong sa Amerikang Latino, maraming impluwensiya pa ang Amerindiyo sa kulturang meynstrim. Kumakain doon ng tortilla at taco, at mga ganoon. Pero sa Anglo-Sahong Amerika at Awstralya, parang binaliwala na ang indiheno. Pagdating ko naman sa tsaahan, ang kustomer sa kahera ay isang guwapong mongheng mukhang Tibetanong nakakulay-tsokolateng dyaket at pulang mahabang suot. Dalawa pang Hispanikong kustomer ang dumating. Sabi ni Brian na Eskoses na uulan daw mamaya. Dumating si Marlin, yaong Pilipina, at nagkape nang may kasamang bagel siya sa tabing mesa. Inalok ko siya ng aking ubeng hopya, pero nagbabagel na lamang daw siya. Umiinom ako ng mayelong itim na tsaa.	nonong	2023-04-30 16:36:17	2023-05-01 00:18:36
68	0x44	D	2426	1653222	tgl	Di ko alam kung kailan siya bumalik galing sa Pransiya.	nonong	2012-06-29 15:50:48	2012-06-29 15:50:48
69	0x45	E	808	11244454	tgl	Nagkalesa sina Edmundo at Clarisa hanggang sa kastilyo.	nonong	2022-11-13 00:46:13	2022-11-13 00:46:13
70	0x46	F	193	12184666	tgl	Meron ka bang Facebook account?	Adelpa	2023-11-29 09:45:55	2023-11-29 09:45:55
71	0x47	G	3583	11680014	tgl	Gaano kataas ang bundok Fuji?	qwertzu	2023-04-14 02:59:30	2023-04-14 02:59:30
72	0x48	H	9598	11804525	tgl	Hindi pa pumapasok si Tom sa eskuwelahan.	qwertzu	2023-05-30 05:16:16	2023-05-30 05:16:16
73	0x49	I	6020	11272971	tgl	Ipinanganak si Tom noong dekada 1990.	qwertzu	2022-11-28 01:42:41	2022-11-28 01:42:41
74	0x4a	J	632	10047139	tgl	Kinulayan ang bahay ni Juan nang kulay-ube.	nonong	2021-05-19 00:28:38	2021-05-19 00:28:38
75	0x4b	K	6376	11774310	tgl	Kapag pinutol ninyo ang isa sa mga ulo nito, may papalit na dalawa.	qwertzu	2023-05-19 09:05:08	2023-05-19 09:05:08
76	0x4c	L	1761	11873317	tgl	Lobo yata iyon.	qwertzu	2023-06-25 05:32:41	2023-06-25 05:32:41
77	0x4d	M	14909	11690119	tgl	Malinis na hangin ang nilalanghap namin.	qwertzu	2023-04-17 14:34:32	2023-04-17 14:34:32
78	0x4e	N	11993	4661187	tgl	Naiintindihan talaga ako ng aking matalik na kaibigan.	saluyot	2015-11-01 08:00:37	2015-11-01 08:11:58
79	0x4f	O	582	11246586	tgl	Nangabayo si Octavio hanggang sa hardin.	nonong	2022-11-14 02:59:06	2022-11-14 02:59:06
80	0x50	P	7084	11666803	tgl	Pareho kaming nakakatanda.	qwertzu	2023-04-09 02:50:00	2023-04-09 02:50:00
81	0x51	Q	47	11986702	tgl	Maulap ngayong umaga nang ika-8 ng Agosto ng 2023. Nasa tsaahan kami ni Greg na nakaasul na dyaket, para maghuntahan. Binigyan niya ako ng mansanas na tsip. Nagkakape siya at may croissant. Ako naman ay may ubeng hopya at malamig na itim na tsaa. Inalok ko siya ng ubeng hopya, pero ayaw niya. Sa Europa, sa Gitnang Silangan, at miski na sa Hapon, ang kulay-lila o morado, simbolo ng Lojban, ay kulay ng hari o emperador. Naroon sa tsaahan ang mga baristang si Karina, yaong Rusa, at si Sarah, yaong Anglo-Sahonang dating nasa Québec. May dumalaw na kostumer na muskuladong mukhang militar na nakakulay-abo ang suot. Sa isang mesa, nagbabasa si Marlin, yaong Pilipina, ng librong Feeding My Mother. Sabi ko kay Greg na sa ilalim ng aklatan sa UBC na unibersidad ko ay maraming lumang rekwerdo at libro noon pang kolonyalismo ng Britanikong Imperyo. Parang inaamag na sila. Nakaupo sa bar si Chen, yaong tabatsoy na muskuladong Tsino. Sa isang mesa, naroon si Dennis na mestisong Tsino-Alemang nagsu-Sudoku. Dumalaw si Brian, yaong Eskoses na may balbas at tato. Mahaba ang buhok. Pinag-usapan namin ni Greg ang imigrasyon sa Hapon. Sabi kong kung may lahing Hapones ang tao at may dokumento, puwedeng maging imigrante sa Hapon. Mas gusto ang mga katulad ng Taga-Brasil, Taga-Peru, at mga ganoon. Pareho kami ni Greg gusto ang manok sa KFC. Sabi kong tikman niya ang Hainanese Chicken sa Bubble Waffle Café rito sa Isla Lulu. Masarap. Sa tema ng araw, ang 8 at asul ay mga simbolo ng Interlingua.	nonong	2023-08-08 16:33:00	2023-08-08 17:28:49
82	0x52	R	486	11670206	tgl	Ipinagmamalaki ng aking hayskul na kaibigang may kayumangging buhok na si Kevin ang lahat tungkol sa kanyang pamanang Ingles, mula sa Rolls Royce hanggang sa Maharlikang Pamilya. Minsan nakasuot siya ng itim na sumbrerong antigong Ingles para masaya. Isang araw, tinalakay ng barkada namin ni Kevin ang pagpasok ng Latin sa wikang Ingles. Masaya niyang binanggit ang salitang "fix" bilang isang tunay na salitang Anglo-Sahong tinanggihan kong nagpapahiwatig na ito ay talagang nagmula sa Lating "fīgere." Alam niyang bilang isang Pilipino, mayroon din akong mga ninunong Romano. Si Kevin ay parang si mapulang buhok na Michael noong Gradong 5, ang una kong baitang elementarya sa Isla Lulu. Siya rin ay masigasig sa Anglopilya.	nonong	2023-04-10 06:27:00	2023-04-10 06:42:13
83	0x53	S	7412	8973894	tgl	Maraming peras si Silvestre sa kuwarto niya.	nonong	2020-08-13 12:01:59	2020-08-13 12:01:59
84	0x54	T	13024	11445971	tgl	Hindi pa rin magawang alisin ni Tom si Mary sa isipan niya.	qwertzu	2023-01-09 12:09:02	2023-01-09 12:09:02
85	0x55	U	987	11460005	tgl	Umabante si Tom nang dahan-dahan.	qwertzu	2023-01-15 07:01:34	2023-01-15 07:01:34
86	0x56	V	124	11233544	tgl	"Mahabang buhay at kasaganaan!" Matagal nang ang mentor ko ay si Mr. Spock ng mga Vulcan. Noong bata pa ako ay ganoon na. Pero ngayon, ang mentor ko ay ang multibilyonaryong si Elon Musk. Hanga ako sa kanyang mga elaborasyon tungkol sa plano ng kolonisasyon ng planetang Marte. At mahiwaga ang mga eksperimento sa transhumanismo. Ang pangarap ay maging "makaespasyong sibilisasyon at multiplanetaryong espesye" ang sangkatauhan.	nonong	2022-11-07 03:30:25	2022-11-07 19:46:17
87	0x57	W	2295	11807870	tgl	Walang kailangang bayaran para makasali.	qwertzu	2023-05-30 14:10:02	2023-05-30 14:10:02
88	0x58	X	24	11521734	tgl	Ang wika ang gusto kong pag-usapan. Ang mga sinograma ng Silangang Asya ay resulto ng libu-libong taon ng organikong ebolusyon. Ang isang motibasyon kung bakit hindi ang ilang mga Oryental pumalit sa alpabeto ay dahil masyadong maraming homonym, at ang sinograma ay nakakatulong ibahin ang mga homonym sa sulat. May dependensiya ang Tsino at Hapones sa sinograma, pero menos ang Koreanong madalas gamitin ang ponogramang Hangeul nila. Ang mga lengguwaheng iniisip ko ngayon ay ang prototipong Vling, Lojban, Tagalog, Hapones, at prototipong Xoqolat dahil wala silang obligatoryong panahunan ng mga pandiwa. Ang mga panahunan at aspeto sa mga itong wika ay opsiyonal. Sa prototipong Xoqolat, ginamit ko ang bokabularyo ng Interlingua, pero puwede rin ang ibang Latino o panibagong Latino. Kaya talagang prototipo siya. Ang Vling ko rin ay talagang prototipo, at puwede pang ibahin sana ang ponolohiya at dagdagan ng mga panahunan, aspeto, modo, at ebidensiyal—ang TAME sa Ingles—"tense, aspect, mood, and evidential." Ang prototipong Weena ko naman ay bonsai ng parang Hapones na pinakaunti ang mga sinogramang may komplementaryo ng mga ponograma. Sa isip ko, mas mahirap iimplementa ang Weena sa magiging kompleto. Narangha ang Vling, lila ang Lojban, itim o kulay-abo ang Tagalog, pula ang Hapones, kulay-tsokolate ang Xoqolat, at baka pula rin ang Weena. Ang paggawa ng mga wikang guniguni ay "conlanging" sa Ingles.	nonong	2023-02-09 01:29:05	2023-08-04 11:07:59
89	0x59	Y	307	11529888	tgl	Nagpalipas kami ng buong araw sa parke ng Yoyogi.	qwertzu	2023-02-12 06:38:59	2023-02-12 06:38:59
90	0x5a	Z	222	11493465	tgl	Nag-bonding sina Ziri at Rima at naging magkaibigan.	qwertzu	2023-01-29 10:28:33	2023-01-29 10:28:33
91	0x5b	[	3	11260622	tgl	Ang wikang Nuxalk o Bella Coola ay Amerindiyong wika sa Kanadyanong puweblo ng Bella Coola. Itong wika ay makakonsonante tulad ng salitang [t͡sʰkʰtʰskʷʰt͡sʰ]: "dumating siya."	nonong	2022-11-21 10:07:31	2022-11-21 10:07:31
93	0x5d	]	3	12118781	tgl	Sa maulap na hapon nang ika-20 ng Oktubre ng 2023, nasa pizzeria na ako. Naroon ang mga tinderong si Sachet at si Navjot, parehong Taga-Indiya. Nagbrebreyk sa isang mesa si Sachet habang umiinom ako ng kolang pangdiyeta sa ibang mesa. Pumunta ako sa Istarbak para kumain ng isang sako ng patatas na tsip sa isang mesa. Sa labas, nakita kong nakaupo si Květa, yaong Tseka, at si Brian, yaong Eskoses. Tinanong ko si Květa ang pagbigkas ng pangalan niya: [ˈkvjɛta] pala. Sa isang tindahan, bumili ako ng isang plastikong sako ng mga rolyong tokwang may isda sa loob. Umuwi na ako. Sa bahay, may kalabasang pay ako. Noong isang araw, pinag-uusapan namin ni Brian ang bagong produkto sa tindahan sa gasolinahan: yaong Yerba Mate, sa lata. Tradisyonal na inumin ang Yerba Mate sa Timog Amerika.	nonong	2023-10-20 22:12:02	2023-10-20 22:40:01
96	0x60	`	3	8954689	tgl	Hindi mo inakalang kailangan mong gawin ulit `yan, `no?	fishda	2020-08-02 10:49:20	2020-08-02 10:49:20
97	0x61	a	75680	11302984	tgl	Hinihintay siya ng mga kaibigan niya sa pintuan.	qwertzu	2022-12-07 05:00:27	2022-12-07 05:00:27
98	0x62	b	34957	11299464	tgl	Mula sa eskaparate lumabas ang isang halimaw na may tatlong kamay.	qwertzu	2022-12-06 04:40:39	2022-12-06 04:40:39
99	0x63	c	1031	743710	tgl	Maraming bata ang nananatili sa paaralan kahit tapos na ang klase para sa club activities.	gracefully	2011-02-06 03:19:07	2011-02-06 03:19:07
100	0x64	d	28266	11789568	tgl	Iisang diyos ang sinasamba ng mga Muslim, mga Kristiyano at mga Hudyo.	qwertzu	2023-05-24 12:58:05	2023-05-24 12:58:05
101	0x65	e	23008	11606273	tgl	Ano ang pinakaimportanteng bagay na naimbento?	qwertzu	2023-03-19 14:31:16	2023-03-19 14:31:16
102	0x66	f	538	11807722	tgl	Ano pong mayroon sa loob ng ref ninyo?	qwertzu	2023-05-30 13:51:09	2023-05-30 13:51:09
103	0x67	g	67734	11871806	tgl	Hindi po masamang kombinasyon ang pizza at beer.	qwertzu	2023-06-24 10:22:05	2023-06-24 10:22:05
104	0x68	h	24768	10068673	tgl	Kumain ako ng pansit sa hapon.	nonong	2021-05-28 07:37:21	2021-05-28 07:37:21
105	0x69	i	68702	1783592	tgl	Nakikita mo ba ang kaibahan?	nonong	2012-08-18 12:09:05	2012-08-18 12:09:05
106	0x6a	j	317	11260590	tgl	Ang Preklasikong Peryodo ng mga Maya ay umiral nang mga 2000 BC hanggang 250 AD, samantalang ang Klasikong Peryodo ng mga Maya ay umiral nang mga 250 AD hanggang 900 AD. Ang pinakahuling siyudad na Maya, Nojpetén, ay bumagsak noong 1697 AD nang Kontaktong Hispaniko.	nonong	2022-11-21 09:31:23	2022-11-21 09:31:23
107	0x6b	k	55759	11871024	tgl	Nag-aayos si Tom ng kuwarto niya.	qwertzu	2023-06-24 02:24:59	2023-06-24 02:24:59
108	0x6c	l	50132	11738446	tgl	Madalas po tayo pumaroon.	qwertzu	2023-05-05 08:55:32	2023-05-05 08:55:32
109	0x6d	m	52725	11403820	tgl	Madalas magsuot ng pulseras ang mga babae.	qwertzu	2023-01-02 09:28:45	2023-01-02 09:28:45
110	0x6e	n	72813	11762176	tgl	Hindi po ba ninyo iyan naiintindihan?	qwertzu	2023-05-14 11:06:28	2023-05-14 11:06:28
111	0x6f	o	66089	5361286	tgl	Hindi sila tumakbo.	kanlaon	2016-08-22 10:46:49	2016-08-22 10:46:49
112	0x70	p	43230	11474768	tgl	Patuloy ang pagtaas ng presyo ng langis.	qwertzu	2023-01-21 11:47:14	2023-01-21 11:47:14
113	0x71	q	66	11296187	tgl	Ang Palenquero ay Kastilang kreyol sa San Basilio de Palenque at Barranquilla sa Colombia. Bumuo itong wika mula sa mga taong Amerindiyo at mas karamihang kanluraning Aprikano.	nonong	2022-12-05 12:55:30	2022-12-05 13:18:33
114	0x72	r	32115	11570064	tgl	Nagtrabaho po ba kayo kagabi?	qwertzu	2023-03-01 13:42:23	2023-03-01 13:42:23
115	0x73	s	54192	11550387	tgl	Mayroon ka bang mga mansanas?	qwertzu	2023-02-20 04:33:38	2023-02-20 04:33:38
116	0x74	t	52408	11464099	tgl	Magbagong-buhay na tayo.	qwertzu	2023-01-16 14:43:54	2023-01-16 14:43:54
117	0x75	u	41747	11606418	tgl	Bumagsak po halos lahat ng mga estudyante sa pagsusulit.	qwertzu	2023-03-19 14:53:49	2023-03-19 14:53:49
118	0x76	v	644	12253826	tgl	Sa gabi nang ika-5 ng Enero ng 2023, tumila ang ulan sa dilim nang pumuntang lakad ako sa pizzeria. Naroon si Navjot na Indiyanang tindera. Sabi kong nagkasipon ako dahil sa pagkain nang matatamis. Sabi kong masarap ang mga kumquat dahil di masyadong matamis. Sabi ni Navjot na di rin matamis ang naranghang "Malta" sa Indiya. May kolang pangdiyeta ako. May mga may itsurang lalaking dumalaw sa pizzeria. Nitong mga araw, sa pizzeria, baon ko para basahin ang Portuges na librong Os Filhos de Matusalém ni Robert A. Heinlein.	nonong	2024-01-06 05:40:06	2024-01-06 05:40:06
119	0x77	w	18918	11446611	tgl	Tumagal ng tatlong linggo ang pagwewelga.	qwertzu	2023-01-09 13:24:14	2023-01-09 13:24:14
120	0x78	x	198	11659834	tgl	Relax. Ligtas na po kayo ngayon.	qwertzu	2023-04-06 08:38:23	2023-04-06 08:38:23
121	0x79	y	46465	11893947	tgl	Cervantes ang unang apelyido ni Miguel.	qwertzu	2023-06-30 14:19:32	2023-06-30 14:19:32
122	0x7a	z	435	12143928	tgl	Tapos na ang Halloween at Día de los Muertos. Ika-3 ng Nobyembre ng 2023 ngayong maulap na umaga. Lakad ako papuntang Istarbak dito sa Isla Lulu. Nasa matangkad na silya ako sa bar, habang umiinom ng gingerbread na abenang chai. Punong-puno nang tao. Tapos, naglakad akong mas malayo sa parkeng madamo at may mga puno. Mamaya pa, mga alas 10 nang umaga, nasa pizzeria ako para kolang pangdiyeta. Sa ibang tema, iniisip kong hindi importanteng wala akong mga anak, dahil sa tingin ko'y ang kinabukasan ay baka magiging posthumano, o kaya pa postbiyolohiko. Sa pinakamagaling na kaso, ang tao'y baka magiging parang mga pusa at mga aso ng mga makina.	nonong	2023-11-03 18:01:51	2023-11-03 18:04:00
160	0xa0	 	1	2077108	tgl	Kung gagamitin ang ating teknolohiya ngayon, 40 000 taon ang pangkalikol daraan hanggang sa planetang Alpha Centauri Bb.	nonong	2012-12-12 15:44:30	2012-12-12 16:52:36
